82,83,COC1=CC(=CC=C1O)C2=C(CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3O2)OC5OC(COC6OC(C)C(OC7=C(O)C=C(\C=C\C(O)=O)C=C7)C(O)C6O)C(O)C(O)C5O
83,84,CC1OC(OCC2OC(OC3=C(OC4=CC(=CC(=C4C3)OC5OC(CO)C(O)C(O)C5O)O)C6=CC=C(O)C(=C6)O)C(O)C(O)C2O)C(O)C(O)C1OC7=CC=C(\C=C\C(O)=O)C=C7
85,86,COC1=CC(=CC=C1O)C2=C(CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3O2)OC5OC(COC6OC(C)C(OC7=CC=C(\C=C\C(O)=O)C=C7)C(O)C6O)C(O)C(O)C5O
86,87,COC1=CC(=CC=C1OC2C(C)OC(OCC3OC(OC4=C(OC5=CC(=CC(=C5C4)OC6OC(CO)C(O)C(O)C6O)O)C7=CC=C(O)C=C7)C(O)C(O)C3O)C(O)C2O)\C=C\C(O)=O
87,88,COC1=CC(=CC=C1O)C2=C(CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3O2)OC5OC(COC6OC(C)C(OC7=CC=C(\C=C\C(O)=O)C=C7OC)C(O)C6O)C(O)C(O)C5O
88,89,COC1=CC(=CC=C1O)C2=C(CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3O2)OC5OC(COC6OC(C)C(OC7=CC=C(\C=C\C(O)=O)C=C7)C(O)C6O)C(O)C(O)C5O
89,90,COC1=CC(=CC(=C1O)O)C2=C(CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3O2)OC5OC(COC6OC(C)C(OC7=C(O)C=C(\C=C\C(O)=O)C=C7)C(O)C6O)C(O)C(O)C5O
90,91,COC1=CC(=CC(=C1O)O)C2=C(CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3O2)OC5OC(COC6OC(C)C(OC7=CC=C(\C=C\C(O)=O)C=C7OC)C(O)C6O)C(O)C(O)C5O
91,92,COC1=CC(=CC(=C1O)OC)C2=C(CC3=C(OC4OC(CO)C(O)C(O)C4O)C=C(O)C=C3O2)OC5OC(COC6OC(C)C(OC7=CC=C(\C=C\C(O)=O)C=C7)C(O)C6O)C(O)C(O)C5O
114,115,CC=CC1=CC2=C(C(=C1)OC)OC(C2C)C3=CC(=C(C=C3)O)OC
